Year,Month,Flow
1957,3,430.4
1957,4,612.9
1957,5,300.3
1957,6,77.5
1957,7,62.1
1957,8,21.8
1957,9,16.5
1957,10,17.3
1957,11,41
1957,12,316.4
1958,1,227.7
1958,2,199.4
1958,3,643.2
1958,4,1756
1958,5,462.5
1958,6,204.3
1958,7,182.4
1958,8,43.7
1958,9,73.7
1958,10,107.5
1958,11,225.2
1958,12,164.2
1959,1,422.9
1959,2,227.1
1959,3,567.5
1959,4,675.9
1959,5,143.8
1959,6,48.5
1959,7,24.3
1959,8,22.1
1959,9,21.5
1959,10,166
1959,11,656.1
1959,12,625.3
1960,1,292.6
1960,2,529.5
1960,3,432
1960,4,1085
1960,5,375.7
1960,6,370.7
1960,7,58.7
1960,8,31.5
1960,9,74.8
1960,10,36.2
1960,11,59.1
1960,12,39.2
1961,1,40.6
1961,2,673.3
1961,3,726.9
1961,4,1106
1961,5,412.2
1961,6,436.4
1961,7,125.1
1961,8,139.8
1961,9,35.3
1961,10,20.3
1961,11,74.5
1961,12,128.2
1962,1,275
1962,2,85.9
1962,3,742.7
1962,4,874.9
1962,5,183.1
1962,6,40
1962,7,15.5
1962,8,14.9
1962,9,24.5
1962,10,351.1
1962,11,342.9
1962,12,160.9
1963,1,125.1
1963,2,72.9
1963,3,989.2
1963,4,528
1963,5,302.5
1963,6,149.6
1963,7,38.4
1963,8,21.5
1963,9,15.7
1963,10,11.9
1963,11,50.9
1963,12,196.1
1964,1,353.2
1964,2,122.3
1964,3,1315
1964,4,523.5
1964,5,249.5
1964,6,31.8
1964,7,17.4
1964,8,12.3
1964,9,9.64
1964,10,11
1964,11,10.5
1964,12,47.2
1965,1,125.9
1965,2,496.2
1965,3,321.3
1965,4,664.1
1965,5,180.4
1965,6,46.9
1965,7,20.2
1965,8,12.8
1965,9,12.3
1965,10,23.9
1965,11,144.9
1965,12,233.3
1966,1,204.1
1966,2,441.9
1966,3,972.4
1966,4,345.6
1966,5,367.3
1966,6,220.3
1966,7,24
1966,8,13
1966,9,12.4
1966,10,11.7
1966,11,55.1
1966,12,191.7
1967,1,232.7
1967,2,165.8
1967,3,545
1967,4,509.8
1967,5,508.7
1967,6,124.8
1967,7,104.4
1967,8,77.3
1967,9,35.4
1967,10,159.3
1967,11,543.4
1967,12,320.3
1968,1,110.1
1968,2,190.3
1968,3,665.7
1968,4,210.5
1968,5,468.5
1968,6,385.9
1968,7,102.6
1968,8,25.4
1968,9,56.7
1968,10,46.8
1968,11,625.9
1968,12,436
1969,1,305.7
1969,2,200.1
1969,3,389.5
1969,4,460.5
1969,5,193.4
1969,6,94.7
1969,7,52.3
1969,8,28.1
1969,9,13.3
1969,10,16.2
1969,11,394.5
1969,12,319.4
1970,1,112.4
1970,2,378.6
1970,3,412.3
1970,4,1348
1970,5,260.3
1970,6,83.9
1970,7,123.6
1970,8,46
1970,9,64
1970,10,254.7
1970,11,444.9
1970,12,247
1971,1,190.6
1971,2,502.4
1971,3,717.2
1971,4,946.4
1971,5,451.9
1971,6,63.6
1971,7,24.2
1971,8,16.1
1971,9,13.8
1971,10,16
1971,11,32.2
1971,12,382.1
1972,1,275
1972,2,102.9
1972,3,783.7
1972,4,826.8
1972,5,606.5
1972,6,1071
1972,7,185.1
1972,8,67.5
1972,9,21.1
1972,10,28.6
1972,11,625
1972,12,745
1973,1,359.1
1973,2,342.6
1973,3,513.6
1973,4,592.7
1973,5,303.3
1973,6,149
1973,7,57.5
1973,8,33.3
1973,9,39.1
1973,10,41.3
1973,11,77.9
1973,12,663.7
1974,1,409.6
1974,2,328.6
1974,3,459.1
1974,4,770.6
1974,5,285.7
1974,6,64.7
1974,7,35
1974,8,17.8
1974,9,34.2
1974,10,36.2
1974,11,209.8
1974,12,367
1975,1,404.7
1975,2,621.1
1975,3,481.1
1975,4,328.3
1975,5,424.5
1975,6,94.6
1975,7,45.6
1975,8,41.3
1975,9,779.6
1975,10,502.4
1975,11,257.3
1975,12,299
1976,1,291.8
1976,2,987.4
1976,3,612.3
1976,4,351.7
1976,5,296
1976,6,108.6
1976,7,415.7
1976,8,167.4
1976,9,78.4
1976,10,578.1
1976,11,210
1976,12,151.8
1977,1,66.2
1977,2,223.8
1977,3,1124
1977,4,384.4
1977,5,184.9
1977,6,35.8
1977,7,30.7
1977,8,39.6
1977,9,754.1
1977,10,755.8
1977,11,566.9
1977,12,661.1
1978,1,642.7
1978,2,207.9
1978,3,806.4
1978,4,818.9
1978,5,169.5
1978,6,77
1978,7,31.1
1978,8,40.9
1978,9,20.3
