	station		
	1	KEECHELUS	RESERVOIR
	2	KACHESS	RESERVOIR


tot_num_stats	2		
Years	48		
Annual			

Station	1		
Station_id	KEECHELUS_RESERVOIR		
Duration	1926	1973	
	183.1		
	234.4		
	251.2		
	156.2		
	160.4
	176.6
	278.5
	345.7
	321.6
	248.8
	219.7
	201.1
	215.9
	213.6
	186.1
	151.7
	168.2
	250.3
	162.1
	223.8
	273.8
	271.8
	275.3
	266.9
	324.5
	289.3
	185.5
	232.1
	303.2
	268.1
	325.2
	225.9
	209.7
	359
	267.1
	280.4
	216.1
	198.7
	283.5
	246.9
	194.4
	251.7
	271.1
	245.3
	196.1
	298.4
	375.5
	176.2


Station	2
Station_id	KACHESS_RESERVOIR
Duration	1926	1973
	158.1	
	220.3	
	233.6	
	134.7	
	134.8	
	152	
	240.2	
	303.7	
	304.5	
	233.2	
	207.3	
	174.3	
	192.3	
	183.2	
	153.5	
	120.1
	141.2
	218
	121.8
	175.5
	234.3
	229.8
	239.9
	243.7
	285.1
	261.9
	159.1
	208.4
	266.8
	226.4
	296.2
	198.4
	183.1
	314.4
	234.9
	247.3
	197.4
	168.6
	242.1
	215
	157.3
	213.8
	228.1
	217.2
	163.3
	263.3
	324.6
	141.2
